lemma	reconstructed_semitic_forms
ioli	yᵓl ; yᵓpᶜl
iononus	
iopas	
iostara	
iotelus	
iqazibal	
iria	
irnemius	
irsiti	
irso	
irti	
isac	
isachonis	
isachu	
isaguas	
isam[	
isater	
isflacia	
isgunte	
isibianus	
isicuar	
isiguar	
isiguari	
ismarus	
isot	
issa	
issbal	
issicuar	
issidba	
issiguaris	
isstatani	
issula	
istasa	
istatan	
istatianu[	
isteb	
isticia	
istoni	
istruge	
isurullis	
itamonis	ᵓt--ᵓmn ; ḥmn
iten	
ithimbal	ᵓt--bᶜl
ithymbal	
itibalis	ᵓt--bᶜl
itthuliliecis	šlk
iuba	
iuba	
iuba	
iubae	
iubae	
iubae	
iubaianum	
iubam	
iubdau[	
iubeus	
iucartae	
iucuta	
iudchad	
iudchadis	
iugmena	
iugurtam	
iugurtha	
iugurtha	
iugurtha	
iugurthae	
iugurthae	
iugurtham	
iuilida	
iuisus	
iuitin	
iulzis	
iumnins	
iummo	
iummon	
iumonius	
iunam	
iu[	
iur	
iura	
iuranis	
iurat	
iuratani	
iuratha	
iurathae	
iurathani	
iurathe	ywrᶜ[t]ᶜn
iurdama	
iutinus	
iuttaph	
iutungun	
iuzale	
iuzgagis	
iuzgao	
iyllul	
iylul	
izaca	
izas	
izazci	
izdon	
izeltae	
izotimi	
izzacae	
kadizon	
kanni	
karbanius	
karthago	
kasan[	
kassuniina	
labbas	
labdidis	
labreconis	
lacumazae	
lacumazen	
lacumazes	
ladas	
lade	
ladibelus	
lagoi	
lailim	
laltin	
lamaldan	
lantu[	
lanzi	
laricha	
lartidi	
lassbal	
latatis	
laudonis	
laulenia	
laumasan	
leptae	
leptha	
lepti	
leptinia	
leptius	
lercias	
licela	
licurdan	
lillecis	
lilleo	
lilloria	
lillosa	
lilua	
lohius	
loius	
loizi	
lorganus	
lornemius	
louella	
louius	
luccatis	
lucpusan	
lulh[i]m	
lutor	
m[       ]chan	
m[     ]uchan	
m[.....]isachonis	
maamon	
mababme	
mabbeus	
mac[	
mac[   ]rcu[	
maca	
macarcum	
macargum	
macari	
macaricus	
macaris	
macarius	
macarsa	
macasatus	
maccal	
maccalis	
maccarus	
maccurasan	
maccus	
macer	
macer[	
macergum	
macersumis	
machrus	
macia	
macidius	
macinu	
macori	
macorus	
mactacia	
mactrabas	
maculipus[   ]nus	
macurasenis	
macurgum	
macurtam	
macus	
maddanius	
madden	ᵓwlᵓd mdyn
madis	
maen	
mafa	
magal[	
magargun	
magari	
magario	
magariu	
magarius	
magarsae	
magdal	
magdira	
maggite	
magibius	
magifae	
maginu	
magirsumae	
mago	
magon	
magone	
magonem	
magonis	
magonius	
magonus	
magore	
magu	
magudianus	
maharbal	mhrbᶜl
maharbalem	
maharbale	
maisa[	
mak.caci	
malacbel[	
malagb[	
malamsus	
malceta	
malchi	
malchio	
malchione	
malchum	
malchus	
malcio	
malcus	
maldatacbalis	
malimorius	
malisuae	
mallerius	
mallina	
mallon	
malminus	
malq	
malsamo	
mamar	
mamfamo	
mamo	
mamon	
mamonia	
mamonica	
mamonicus	
mamonimus	
mamonis	
mamonius	
mamus	
manar	
manarilius	
mangala	mᵓnklᵓ$^{t
mangeddeni	
mangonius	
mannica	
manonasan	
manthaneus	
manti	
manti	
mantia	
mantina	
mantis	
mantisuae	
mantisynan	
mantutius	
manzerasen	
maodbu	ᵓmtbᶜl
map[	
mapalica	
mapol[	
mappalici	
mappalicus	
mappalienses	
maral	
maralafus	
marau	
maraus	
marax	
maraxa	
marganau	
maris	mrš
marisa	
marisat	
marisath	
marisgaruatis	
marith	
marmaris	
marsa	
marsanau	
martzara	
marules	
marzin	
mas	
mas[	
masac	
masacis	
masag	
masaisilen	
masal	
masambra	
masamon	
masamonica	
masan	
masatta	
masauca	
masauchan	
masbabae	
mascal	šql
mascanis	
mascarada	
mascaradiana	
mascauar	
mascel	
masceli	
mascelia	
mascezel	
mascezelem	
maschaua	
maschulus	
mascizel	
masclo	
masclonis	
masclus	
masculas	
masculi	
masculo	
masculus	
mascuti	
masese	
masestam	
masfelus	
masfetia	
masgaba	
masgabae	
masgabam	
